57,0,-0.12036
486,0,0.18101
463,0,-0.28051
394,0,-0.12859
297,0,0.037217
259,0,0.076828
238,0,-0.28051
472,0,0.058044
211,0,0.26915
134,0,-0.029809
113,0,0.27888
90,0,-0.12036
81,0,0.18745
72,0,-0.064994
213,0,0.38498
294,0.054945,0.07975
297,0.054945,0.1864
348,0.054945,-0.19326
368,0.054945,0.086488
369,0.054945,-0.029872
472,0.054945,-0.15377
441,0.054945,-0.24762
463,0.054945,-0.16748
479,0.054945,0.094118
481,0.054945,-0.12392
278,0.054945,-0.205
372,0.054945,-0.26545
269,0.054945,-0.05407
149,0.054945,-0.18977
176,0.054945,0.14696
211,0.054945,-0.11251
22,0.054945,0.10922
49,0.054945,0.19718
57,0.054945,-0.24908
66,0.054945,0.016018
7,0.054945,0.0099044
104,0.054945,0.14696
131,0.054945,0.19505
134,0.054945,-0.16225
148,0.054945,0.0005903
97,0.054945,0.13051
176,0.10989,-0.0092717
499,0.10989,-0.10046
481,0.10989,0.09156
479,0.10989,-0.19964
447,0.10989,0.14644
415,0.10989,-0.18827
325,0.10989,0.070694
274,0.10989,0.26733
267,0.10989,-0.31365
191,0.10989,0.15628
175,0.10989,0.10281
297,0.10989,-0.21547
148,0.10989,-0.083769
134,0.10989,0.017374
97,0.10989,0.019506
87,0.10989,0.052713
81,0.10989,-0.094644
66,0.10989,0.15363
57,0.10989,-0.038796
51,0.10989,0.11043
49,0.10989,0.079069
10,0.10989,-0.023734
149,0.10989,-0.12913
232,0.16484,-0.033347
254,0.16484,0.25357
267,0.16484,-0.028275
284,0.16484,0.18353
335,0.16484,0.18353
504,0.16484,0.045302
447,0.16484,0.0049461
479,0.16484,-0.045584
499,0.16484,0.21295
175,0.16484,0.10228
534,0.16484,0.02614
343,0.16484,0.066488
160,0.16484,-0.55057
305,0.16484,-0.083479
148,0.16484,-0.038384
156,0.16484,0.10495
22,0.16484,-0.10394
36,0.16484,-0.22412
49,0.16484,-0.19237
66,0.16484,-0.0030735
10,0.16484,-0.035778
90,0.16484,-0.046325
97,0.16484,0.089948
109,0.16484,-0.42229
121,0.16484,0.14286
134,0.16484,0.042145
81,0.16484,0.071218
402,0.21978,0.070943
399,0.21978,0.13672
395,0.21978,-0.018075
363,0.21978,-0.33467
347,0.21978,0.071866
345,0.21978,-0.0037424
339,0.21978,0.12747
334,0.21978,0.20502
407,0.21978,-0.21884
351,0.21978,-0.048506
415,0.21978,0.033859
480,0.21978,0.081239
436,0.21978,0.038234
463,0.21978,0.091078
468,0.21978,0.095326
469,0.21978,0.33852
491,0.21978,0.27888
493,0.21978,0.07605
495,0.21978,0.033217
509,0.21978,0.10436
534,0.21978,0.035054
331,0.21978,0.047142
431,0.21978,-0.017773
320,0.21978,0.1003
66,0.21978,-0.51148
281,0.21978,0.21709
307,0.21978,0.012373
6,0.21978,-0.23286
10,0.21978,0.072149
13,0.21978,0.15651
49,0.21978,-0.3466
84,0.21978,0.16089
89,0.21978,0.036678
90,0.21978,-0.18328
91,0.21978,-0.36639
109,0.21978,0.024047
86,0.21978,0.018918
150,0.21978,0.11481
277,0.21978,0.065216
148,0.21978,0.047415
229,0.21978,0.35848
176,0.21978,0.072307
160,0.21978,-0.54238
235,0.21978,-0.02832
157,0.21978,0.27811
156,0.21978,0.052747
154,0.21978,0.16926
153,0.21978,-0.10249
387,0.27473,0.18177
427,0.27473,0.10551
424,0.27473,-0.041046
423,0.27473,0.1751
415,0.27473,-0.42603
411,0.27473,-0.043072
404,0.27473,-0.099503
402,0.27473,-0.033389
400,0.27473,0.25669
431,0.27473,0.18049
382,0.27473,0.06131
341,0.27473,0.30571
369,0.27473,0.14154
368,0.27473,0.093235
361,0.27473,-0.14149
356,0.27473,-0.16095
351,0.27473,0.095528
347,0.27473,0.13496
345,0.27473,-0.028472
344,0.27473,-0.015195
343,0.27473,-0.20926
433,0.27473,0.08643
335,0.27473,-0.14264
380,0.27473,0.16834
447,0.27473,0.057255
493,0.27473,-0.061657
